zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
85060,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-111.98,995
85061,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.51,-112.12,324
85062,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,0
85063,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.17,1705
85064,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.03,1453
85065,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"520,623,928,480,602",NA,US,33.43,-112.05,0
85066,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.39,-112.03,1744
85067,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.08,855
85068,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.67,-112.06,976
85069,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.56,-112.09,1661
85070,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.3,-112.04,304
85071,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.59,-112.11,888
85072,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.01,41
85073,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623,480,520,928",NA,US,33.44,-112.07,0
85074,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.09,359
85075,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.49,-112.21,356
85076,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.32,-111.99,839
85077,UNIQUE,1,Phoenix,,"Greyhound Dial Corp, Dial Corp",AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-111.97,0
85078,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.62,-112,773
85079,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.11,1040
85080,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.63,-112.11,1829
85082,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,1184
85083,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.73,-112.14,18090
85085,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.75,-112.09,21350
85086,STANDARD,0,Phoenix,"Anthem, Desert Hills",,AZ,Maricopa County,America/Phoenix,"602,623,928,480,520",NA,US,33.83,-112.11,36140
85087,STANDARD,0,New River,Phoenix,,AZ,Maricopa County,America/Phoenix,"480,602,623,928",NA,US,33.95,-112.07,7990
85096,STANDARD,1,Phoenix,,Census Bureau,AZ,Maricopa County,America/Phoenix,602,NA,US,33.44,-112.09,0
85097,STANDARD,0,Phoenix,,Census Bureau,AZ,Maricopa County,America/Phoenix,"602,480,623",NA,US,33.43,-112.15,0
